участник,мама,папа,сестра,брат,родители,тетя,дядя,внучка,внук,бабушка,дедушка,сын,дочь,возраст,возраст_категория,город,город_категория,город_центр,пол,пол_категория,(non)Native
42,1,1,2,2,1,2,2,5+7,6+8,2,1,1,1,23,0,Иваново,1,1,woman,1,0
43,1,1,1,2,1,2,3,дактиль,дактиль,2,1,1,3,30,1,Новосибирск,5,0,woman,1,1
44,2,2,2,2,1,,,,,,,3,1,34,1,Жуковский,1,1,woman,1,0
45,1,3,2,3,1,2,3,дактиль,дактиль,1,5,1,4,18,0,Москва,6,1,woman,1,0
46,1,1,2,2,1,2,2,дактиль,дактиль,2,1,3,4,NA,1,Чехов,1,1,woman,1,0
47,1,1,2,2,1,2,2,5+2,6+2,1,1,1,9,23,0,Москва,6,1,woman,1,0
48,3,1,,,1,,,,,,,,,22,0,Нижневартовск,5,0,woman,1,1
51,1,3,5,1,1+3+2,2,5,дактиль,дактиль,2,3,1,4,15,0,Киев,5,0,woman,1,1
52,1,1,2,2,1,3,1,1+2,3+2,1,7,1,2,20,0,Рязань,1,1,woman,1,0
53,1,1,3,2,1,3,2,дактиль,дактиль,1,1,1,1,36,1,Москва,6,1,men,0,1
54,1,1,2,1,1,2,2,дактиль,дактиль,1,1,3,4,35,1,Нижний Новгород,4,0,men,0,1
55,2,2,2,2,1,4,2,5+8,6+9,1,5,2,4,31,1,NA,NA,NA,men,0,0
56,1,1,3,2,1,2,3,дактиль,дактиль,1,2,1,9,41,1,Москва,6,1,woman,1,1
57,1,1,2,1,1,2,2,дактиль,дактиль,1,1,3,2,38,1,Нижний Новгород,4,0,woman,1,1
58,1,1,4,1,1+2+3,2,4,дактиль,6+2,1,1,3,4,26,1,Витебск,5,0,woman,1,0
59,1,1,2,2,1,2,2,дактиль,дактиль,1,1,3,1,NA,1,Москва,6,1,woman,1,0
61,2,1,2,2,1,2,6,1+2,3+2,2,5,3,9,19,0,Екатеринбург,5,0,woman,1,0
62,1,1,2,2,3+2,2,2,5+1+2,6+3+2,1,1,1,1,33,1,Москва,6,1,woman,1,0
63,1,1,3,3,1,3,5,дактиль,дактиль,3,1,3,1,34,1,Москва,6,1,woman,1,1
64,1,1,3,2,1,2,2,дактиль,дактиль,2,1,1,4,22,0,Москва,6,1,woman,1,1
65,1,1,2,2,2+3+1,2,2,5+9,10,1,1,3,2,34,1,Москва,6,1,woman,1,1
67,1,1,2,2,1,2,3,дактиль,дактиль,1,2,3,4,25,0,Пермь,4,0,men,0,1
68,1,1,,,1,,,,,,,3,2,32,1,Каменск-Уральский,4,0,men,0,0
69,1,1,3,2,1,3,2,дактиль,дактиль,1,7,1,1,36,1,Москва,6,1,woman,1,1
71,1,1,2,2,1,1,3,дактиль,дактиль,4,2,3,2,31,1,Новосибирск,5,0,woman,1,1
73,1,1,1,2,1,2,3,дактиль,дактиль,1,1,1,3,32,1,Владимир,1,1,woman,1,1
74,3,4,4,1,1,5,5,дактиль,дактиль,1,3,3,2,20,0,Минск,5,0,woman,1,1
75,1,3,2,2,3+2,2,3,дактиль,дактиль,1,3,3,2,16,0,Красноярск,5,0,woman,1,1
79,2,1,2,2,1,2,2,5+1+2,6+3+2,1,1,2,2,23,0,Калуга,1,1,men,0,0
81,1,1,3,4,1,3,2,дактиль,дактиль,4,3,1,4,57,1,Тамбов,1,1,woman,1,1
84,1,1,2,2,2+3,2,2,1+2,3+2,2,1,1,4,25,0,Великий Новгород,2,0,woman,1,0
87,1,1,2,3,1,2,2,дактиль,дактиль,1,1,1,4,17,0,NA,NA,NA,woman,1,0
89,1,1,,,2+3,,,,,,,,,34,1,Санкт-Петербург,2,0,woman,1,1
90,1,1,,,1,,,,,,,,,26,1,Москва,6,1,woman,1,1
93,1,1,4,1,1+2+3,2,1,5+2,3+2,1,1,1,1,21,0,Иваново,1,1,woman,1,0
95,1,1,3,2,1,2,2,дактиль,дактиль,2,2,1,4,26,1,Москва,6,1,woman,1,0
96,1,3,2,2,1,7,2,дактиль,дактиль,2,3,1,9,23,0,NA,NA,NA,woman,1,1
97,1,2,2,2,3+2,4,2,дактиль,дактиль,2,7,1,4,26,1,Пятигорск,3,0,woman,1,0
98,1,1,3,2,1,3,2,5+2,дактиль,1,1,3,2,42,1,NA,NA,NA,woman,1,1
99,1,1,3,2,1,2,2,дактиль,дактиль,1,2,1,4,35,1,Москва,6,1,woman,1,0
100,1,1,2,2,1,2,2,дактиль,дактиль,2,1,1,4,NA,1,Иркутск,5,0,woman,1,1
101,2,1,2,2,1,2,2,1+2,3+2,2,2,3,9,19,0,Воронеж,1,1,men,0,0
102,2,1,2,3,1,2,2,1+2,3+2,1,3,3,9,22,0,Калуга,1,1,men,0,0
103,1,1,3,2,2+3,3,2,5+6,6+7,1,5,3,1,35,1,Москва,6,1,men,0,1
104,1,2,3,3,1,2,2,10+дактиль,дактиль,1,1,1,1,18,0,Москва,6,1,men,0,1
106,1,3,2,2,1,,,,,,,1,4,25,0,Северобайкальск,5,0,men,0,0
108,1,1,3,2,1,2,2,дактиль,дактиль,1,1,1,4,22,0,Москва,6,1,men,0,1
110,1,2,3,2,3+2,2,2,дактиль,дактиль,3,7,1,6,NA,1,NA,NA,NA,men,0,0
111,1,1,2,2,1,2,2,дактиль,дактиль,2,1,1,1,26,1,NA,NA,NA,woman,1,1
